iter	Passed	Remaining
658	12009	2569
659	12024	2550
660	12040	2531
661	12057	2513
662	12073	2494
663	12089	2476
664	12104	2457
665	12121	2438
666	12138	2420
667	12154	2401
668	12171	2383
669	12187	2364
670	12206	2346
671	12229	2329
672	12253	2312
673	12275	2294
674	12295	2276
675	12319	2259
676	12341	2242
677	12366	2225
678	12388	2207
679	12411	2190
680	12433	2172
681	12456	2155
682	12479	2137
683	12504	2120
684	12521	2102
685	12547	2085
686	12570	2067
687	12586	2048
688	12602	2030
689	12620	2011
690	12640	1993
691	12656	1975
692	12674	1956
693	12691	1938
694	12708	1919
695	12725	1901
696	12742	1883
697	12758	1864
698	12774	1845
699	12790	1827
700	12805	1808
701	12821	1789
702	12836	1771
703	12852	1752
704	12868	1734
705	12884	1715
706	12902	1697
707	12918	1678
708	12934	1660
709	12950	1641
710	12966	1623
711	12980	1604
712	12996	1585
713	13011	1567
714	13027	1548
715	13043	1530
716	13057	1511
717	13073	1493
718	13088	1474
719	13104	1456
720	13119	1437
721	13134	1418
722	13151	1400
723	13168	1382
724	13183	1363
725	13198	1345
726	13216	1327
727	13232	1308
728	13249	1290
729	13266	1272
730	13282	1253
731	13297	1235
732	13312	1216
733	13327	1198
734	13342	1179
735	13359	1161
736	13375	1143
737	13393	1125
738	13410	1106
739	13427	1088
740	13444	1070
741	13460	1052
742	13477	1033
743	13492	1015
744	13509	997
745	13524	978
746	13540	960
747	13555	942
748	13570	924
749	13585	905
750	13604	887
751	13621	869
752	13639	851
753	13659	833
754	13677	815
755	13695	797
756	13714	779
757	13733	760
758	13752	742
759	13770	724
760	13789	706
761	13806	688
762	13824	670
763	13842	652
764	13860	634
765	13876	615
766	13894	597
767	13912	579
768	13928	561
769	13947	543
770	13966	525
771	13984	507
772	14001	489
773	14018	470
774	14034	452
775	14050	434
776	14066	416
777	14082	398
778	14098	380
779	14116	361
780	14133	343
781	14148	325
782	14163	307
783	14179	289
784	14193	271
785	14208	253
786	14223	234
787	14239	216
788	14255	198
789	14271	180
790	14290	162
791	14305	144
792	14326	126
793	14346	108
794	14367	90
795	14387	72
796	14412	54
797	14432	36
798	14459	18
799	14487	0
